Training on 18276 movies
18276
----------------------------- NEW MLP INIT -----------------------------
----------------------------------  batch1  -----------------------------------
-----------------------------------  -----------------------------------
-----------------------------------  -----------------------------------
Num learning steps: 3000
Learning rate: 0.05
Frequency of decreasing learning rate: 50
Glorot and Bengio Weights: true
Momentum influence: 0.0
Print status frequency: 10
Dropout OFF
Minibatch OFF
--------- WEIGHTS BEING INITIALIZED RANDOMLY ---------------
Hidden weights: 0.0736876126183612
Output weights: 0.38254602783800296
Lning rate: 0,034821 | Error derivative: 0,00587129 | Err: 0,04949777
Lning rate: 0,034472 | Error derivative: 0,00585073 | Err: 0,04947405
Lning rate: 0,034472 | Error derivative: 0,00583033 | Err: 0,04945053
Lning rate: 0,034472 | Error derivative: 0,00581008 | Err: 0,04942717
Lning rate: 0,034472 | Error derivative: 0,00578998 | Err: 0,04940398
Lning rate: 0,034472 | Error derivative: 0,00577002 | Err: 0,04938094
Lning rate: 0,034128 | Error derivative: 0,00575039 | Err: 0,04935826
Lning rate: 0,034128 | Error derivative: 0,00573091 | Err: 0,04933577
Lning rate: 0,034128 | Error derivative: 0,00571157 | Err: 0,04931342
Lning rate: 0,034128 | Error derivative: 0,00569236 | Err: 0,04929123
Lning rate: 0,034128 | Error derivative: 0,00567329 | Err: 0,04926918
Lning rate: 0,033786 | Error derivative: 0,00565452 | Err: 0,04924748
Lning rate: 0,033786 | Error derivative: 0,00563590 | Err: 0,04922594
Lning rate: 0,033786 | Error derivative: 0,00561741 | Err: 0,04920454
Lning rate: 0,033786 | Error derivative: 0,00559904 | Err: 0,04918329
Lning rate: 0,033786 | Error derivative: 0,00558080 | Err: 0,04916217
Lning rate: 0,033449 | Error derivative: 0,00556285 | Err: 0,04914138
Lning rate: 0,033449 | Error derivative: 0,00554503 | Err: 0,04912074
Lning rate: 0,033449 | Error derivative: 0,00552734 | Err: 0,04910023
Lning rate: 0,033449 | Error derivative: 0,00550976 | Err: 0,04907985
Lning rate: 0,033449 | Error derivative: 0,00549230 | Err: 0,04905961
Lning rate: 0,033114 | Error derivative: 0,00547511 | Err: 0,04903967
Lning rate: 0,033114 | Error derivative: 0,00545805 | Err: 0,04901987
Lning rate: 0,033114 | Error derivative: 0,00544110 | Err: 0,04900020
Lning rate: 0,033114 | Error derivative: 0,00542426 | Err: 0,04898065
Lning rate: 0,033114 | Error derivative: 0,00540753 | Err: 0,04896122
Lning rate: 0,032783 | Error derivative: 0,00539105 | Err: 0,04894209
Lning rate: 0,032783 | Error derivative: 0,00537470 | Err: 0,04892309
Lning rate: 0,032783 | Error derivative: 0,00535846 | Err: 0,04890420
Lning rate: 0,032783 | Error derivative: 0,00534231 | Err: 0,04888543
Lning rate: 0,032783 | Error derivative: 0,00532627 | Err: 0,04886677
Lning rate: 0,032455 | Error derivative: 0,00531047 | Err: 0,04884839
Lning rate: 0,032455 | Error derivative: 0,00529478 | Err: 0,04883013
Lning rate: 0,032455 | Error derivative: 0,00527920 | Err: 0,04881199
Lning rate: 0,032455 | Error derivative: 0,00526370 | Err: 0,04879395
Lning rate: 0,032455 | Error derivative: 0,00524831 | Err: 0,04877601
Lning rate: 0,032131 | Error derivative: 0,00523314 | Err: 0,04875834
Lning rate: 0,032131 | Error derivative: 0,00521809 | Err: 0,04874079
Lning rate: 0,032131 | Error derivative: 0,00520312 | Err: 0,04872334
Lning rate: 0,032131 | Error derivative: 0,00518825 | Err: 0,04870599
Lning rate: 0,032131 | Error derivative: 0,00517346 | Err: 0,04868874
Lning rate: 0,031809 | Error derivative: 0,00515889 | Err: 0,04867174
Lning rate: 0,031809 | Error derivative: 0,00514443 | Err: 0,04865486
Lning rate: 0,031809 | Error derivative: 0,00513005 | Err: 0,04863807
Lning rate: 0,031809 | Error derivative: 0,00511575 | Err: 0,04862137
Lning rate: 0,031809 | Error derivative: 0,00510154 | Err: 0,04860476
Lning rate: 0,031491 | Error derivative: 0,00508754 | Err: 0,04858840
Lning rate: 0,031491 | Error derivative: 0,00507363 | Err: 0,04857214
Lning rate: 0,031491 | Error derivative: 0,00505980 | Err: 0,04855597
Lning rate: 0,031491 | Error derivative: 0,00504606 | Err: 0,04853988
Lning rate: 0,031491 | Error derivative: 0,00503239 | Err: 0,04852389
Lning rate: 0,031176 | Error derivative: 0,00501892 | Err: 0,04850812
Lning rate: 0,031176 | Error derivative: 0,00500554 | Err: 0,04849245
Lning rate: 0,031176 | Error derivative: 0,00499223 | Err: 0,04847687
Lning rate: 0,031176 | Error derivative: 0,00497900 | Err: 0,04846137
Lning rate: 0,031176 | Error derivative: 0,00496584 | Err: 0,04844595
